"fact","category"
"The programming language used to write the Bitcoin Core client is primarily C++.","Technical"
"Bitcoin's price reached $1 for the first time in February 2011.","Economics"
"The double-spending problem that Bitcoin solved had been a major challenge for digital currencies for decades.","Technical"
"Bitcoin has a bug bounty program where researchers can earn rewards for finding vulnerabilities.","Technical"
"The average Bitcoin transaction fee has fluctuated from less than $0.01 to over $60 during peak periods.","Economics"
"The first Bitcoin mining pool, Slush Pool (now Braiins Pool), was established in 2010.","History"
"Bitcoin's blockchain has never been successfully hacked.","Security"
"The word 'Bitcoin' appears only once in its own whitepaper.","Trivia"
"Each Bitcoin transaction creates a unique digital signature using ECDSA cryptography.","Technical"
"The mempool is where unconfirmed Bitcoin transactions wait to be included in a block.","Technical"
"The first commit to the Bitcoin codebase was made on August 30, 2009.","History"
"A single Bitcoin transaction can theoretically contain thousands of inputs and outputs.","Technical"
"There are over 15,000 full nodes maintaining copies of the Bitcoin blockchain globally.","Technical"
"Bitcoin's genesis block contains a message referencing bank bailouts.","History"
"Bitcoin's birthday is considered to be January 3, 2009, when the genesis block was mined.","History"
"Cold storage refers to keeping Bitcoin private keys offline for enhanced security.","Security"
"Each Bitcoin block contains a reference to the previous block, forming a chain.","Technical"
"The Bitcoin market cap briefly exceeded $1 trillion in 2021.","Economics"
"Bitcoin was not the first attempt at digital currency, but was the first successful decentralized one.","History"
"The Bitcoin whitepaper was published under the MIT license.","Technical"
"Some lost Bitcoin wallets have become legendary, including one containing 7,500 BTC thrown away in a landfill.","Culture"
"Every Bitcoin transaction must be verified by all full nodes in the network.","Technical"
"Multi-signature technology allows Bitcoin transactions to require multiple approvals.","Security"
"Bitcoin's average block size has grown from less than 1 KB to over 1 MB.","Technical"
"The Bitcoin community has overcome several contentious hard forks while maintaining its core principles.","History"
"Bitcoin's consensus rules are enforced by the participants in the network, not by any central authority.","Technical"
"The first Bitcoin improvement proposal (BIP) was submitted in 2011.","History"
"After 10 minutes on average, a Bitcoin transaction has one confirmation. Six confirmations are often considered secure.","Security"
"Bitcoin is legal in most countries but fully banned in a few, including Algeria and Bolivia.","Regulation"
"SHA-256 is the cryptographic hash algorithm used in Bitcoin mining.","Technical"
"Some charitable organizations accept Bitcoin donations, including the Red Cross and UNICEF.","Adoption"
"Bitcoin's historic volatility has led to both fortunes made and lost.","Economics"
"Bitcoin's 21 million supply cap was an arbitrary choice by Satoshi Nakamoto.","History"
"Off-chain Bitcoin transactions occur on secondary layers without being recorded on the main blockchain.","Technical"
"There are currently over 40 million Bitcoin wallets with a non-zero balance.","Adoption"
"Bitcoin transaction fees are not determined by the amount sent but by data size and network congestion.","Technical"
"The first successful atomic swap between Bitcoin and Litecoin occurred in 2017.","Technical"
"The Bitcoin network can theoretically process about 7 transactions per second.","Technical"
"Turing completeness was intentionally avoided in Bitcoin's scripting language for security reasons.","Technical"
"Bitcoin transactions are broadcast to all nodes in the network.","Technical"
"The first Bitcoin futures contracts began trading on CME Group in December 2017.","Economics"
"A 51% attack would require controlling more than half of Bitcoin's total mining power.","Security"
"Bitcoin's price history includes several 80-90% drawdowns followed by new all-time highs.","Economics"
"The infamous Mt. Gox exchange handled over 70% of all Bitcoin transactions before its collapse in 2014.","History"
"Bitcoin's whitepaper has been translated into over 30 languages.","Adoption"
"Some universities, including MIT and Stanford, have active Bitcoin research groups.","Adoption"
"Bitcoin addresses beginning with '3' are script hash addresses, while those beginning with '1' are public key hash addresses.","Technical"
"The Bitcoin Core software has been downloaded millions of times.","Adoption"
"The number of orphaned blocks in Bitcoin (valid blocks that aren't included in the main chain) is relatively small.","Technical"
"A single satoshi has been worth more than some national currencies during periods of extreme inflation.","Economics"
"Bitcoin transactions can include optional messages in the OP_RETURN field.","Technical"
"The last time that 0.01 BTC was worth less than $1 USD was in 2013.","Economics"
"Tim Draper purchased nearly 30,000 bitcoins from the US Marshals Silk Road auction in 2014.","History"
"Bitcoin has been used to timestamp documents by embedding their cryptographic hashes in transactions.","Applications"
"The word 'cryptocurrency' wasn't commonly used until several years after Bitcoin's creation.","History"
"Bitcoin has inspired thousands of alternative cryptocurrencies.","Influence"
"Some people celebrate 'Proof of Keys' day on January 3rd by withdrawing all their bitcoins to private wallets.","Culture"
"Bitcoin's peer-to-peer network has operated with 99.98% uptime since its inception.","Technical"
"The FBI owns more than 1% of all bitcoins in circulation after seizures from various criminal activities.","Trivia"
"There's a limited supply of 'virgin bitcoins' - coins that have never been transacted.","Economics"
"The original Bitcoin client had a built-in P2P marketplace that was later removed.","History"
"The largest Bitcoin transaction ever processed was worth over $1 billion.","Economics"
"The smallest non-zero transaction ever sent was 1 satoshi.","Trivia"
"The hash of Bitcoin's genesis block has an unusual number of leading zeros, suggesting Satoshi may have mined many blocks to find an aesthetically pleasing one.","Technical"
"Bitcoin's UTXO model differs fundamentally from the account-based model used by traditional banking.","Technical"
"The smallest unit of Bitcoin, the satoshi, was named in honor of its creator.","History"
"Bitcoin's codebase has had contributions from over 600 developers.","Technical"
"The infamous Bitcoin 'bug' of 2010 created billions of bitcoins out of thin air but was quickly fixed.","History"
"Hal Finney, the first person to receive bitcoins from Satoshi, was a prominent cypherpunk and cryptography activist.","History"
"The phrase 'Not your keys, not your coins' emphasizes the importance of self-custody in Bitcoin.","Culture"
"Bitcoin's initial block reward was 50 BTC per block.","Economics"
"SegWit (Segregated Witness) was activated on Bitcoin in 2017 to solve transaction malleability issues.","Technical"
"The term 'dust' in Bitcoin refers to extremely small amounts that are uneconomical to spend due to transaction fees.","Technical"
"Bitcoin's private keys can be represented as 12 or 24 word mnemonic seed phrases.","Security"
"The Bitcoin whitepaper cites eight previous works that influenced its design.","History"
"Bitcoin's difficulty has increased by over 20 trillion times since 2009.","Technical"
"The Bitcoin blockchain has never been offline since the genesis block was mined.","Technical"
"Taproot, an upgrade to enhance Bitcoin's privacy and efficiency, was activated in 2021.","Technical"
"The previous all-time high of $19,783 set in 2017 wasn't surpassed until December 2020.","Economics"
"If printed, the entire Bitcoin blockchain would consume over 200 GB of paper.","Trivia"
"Quantum computing is often cited as a potential future threat to Bitcoin's cryptography.","Security"
"The smallest transaction fee ever paid was 0 BTC, which was possible in the early days.","History"
